,title,author,url,br
0,晚风,小阿枫,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461139078&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
1,Always Online (释怀版),ProdbyMend,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461096405&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
2,我终于等到你 (深情版),好听吗,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461088894&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
3,烟火里的尘埃 (DJ沈念Remix版),李雨婷,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461086649&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
4,见一面少一面 (深情版),张梦心,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461085362&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
5,嗵嗵,DUODUO,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461082454&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
6,林中鸟（来不及祈祷就开始奔跑）,楠菲儿,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461081284&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
7,不谓侠 (2025热搜版),小阿七,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461078309&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
8,鸿雁于飞（女声版）,毛妹妹,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461075659&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
9,谁在乎你吃过多少苦 (DJ女版),王娜,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461063110&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
10,稳稳的幸福,于春洋,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461059784&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
11,一剪梅（吉他版） (cover: 夜子吉他钢琴),塰塰,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461034784&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
12,烟火里的尘埃,en,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_461034356&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
13,稳稳的幸福（看到了明明白白的远方 我要的幸福）,七元,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460980347&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
14,我的眼泪不如香水,苏谭谭,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460969078&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
15,伤情2025（李雨亭版）,李雨亭,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460966431&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
16,我走后 (cover: 小咪),江凡凡,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460964479&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
17,情难枕（走心版）,云南三怪,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460962107&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
18,夜愿,洋澜一,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460961379&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
19,恶作剧 (cover: 王蓝茵),宽窄巷子的猫,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460959986&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
20,我们终究成了陌生人 (心碎版),莫南宇,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460955566&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
21,幕后者 (第一次听你说爱我是夏天) (cover: 李俊),朱逐乐,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460953648&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
22,红颜易老 (cover: 小敏),李锦熙,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460949740&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
23,在山花烂漫,黄文文,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460949388&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
24,世界赠予我的时光与倔强（女声版） (cover: 演午),杨曦,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_460947911&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3,128kmp3
